date,heimertingen,kempten,lauben,reckenberg,sonthofen,wiblingen
2000-01-01,2.96,29.16,7.34,4.2,9.19,49.73
2000-01-02,NA,29.17,6.94,4.09,8.21,46.33
2000-01-03,3.08,27.19,6.47,4.1,8.04,47.64
2000-01-04,2.8,24.89,6.03,3.94,7.59,39.77
2000-01-05,3.31,27.36,7.77,4.14,7.95,46.43
2000-01-06,3.24,32.99,8.74,4.17,NA,57.9
2000-01-07,2.91,28.33,7.27,4.11,9.35,47.44
2000-01-08,2.72,25.25,6.6,3.96,7.95,40.09
2000-01-09,2.91,23.58,6.37,3.88,7.49,38.26
2000-01-10,3.11,23.06,6.65,3.97,6.66,39.61
2000-01-11,NA,21.56,6.44,3.77,7.07,35.53
2000-01-12,2.79,20.55,6.07,3.77,6.54,31.43
2000-01-13,2.84,18.84,5.51,3.76,6.07,32.66
2000-01-14,2.57,17.35,5.09,3.74,5.47,29.66
2000-01-15,2.63,16.02,4.67,3.79,NA,24.59
2000-01-16,NA,14.62,4.47,3.89,4.87,22.12
2000-01-17,2.64,14.75,4.39,4,4.52,22.31
2000-01-18,2.65,15.44,4.86,4.03,NA,24.6
2000-01-19,2.65,15.6,4.83,4.01,NA,25.69
2000-01-20,2.5,13.82,4.32,3.98,4.22,16.39
2000-01-21,NA,13.48,4.26,3.32,NA,20.87
2000-01-22,NA,12.76,4.14,3.15,NA,20.22
2000-01-23,NA,13.06,4.25,3.15,NA,20.09
2000-01-24,2.41,12.68,4.03,3.15,NA,19.71
2000-01-25,2.06,12.09,3.28,3.14,3.65,16.42
2000-01-26,1.97,NA,3.24,3.14,3.08,14.1
2000-01-27,1.93,NA,3.47,3.13,NA,13.57
2000-01-28,NA,10.3,3.72,3.11,3.09,15.54
2000-01-29,2.04,11.85,3.79,3.09,3.69,16.03
2000-01-30,3.17,81.1,12,5.65,32.52,78.16
2000-01-31,3.46,130.49,16.13,9.15,43.33,189.99
2000-02-01,2.83,68.84,12.19,6.17,22.85,112.44
2000-02-02,2.69,55.61,10.56,5.78,19.5,78.19
2000-02-03,2.92,65.17,14.4,6.53,19.31,87.99
2000-02-04,2.62,48.22,10.77,5.24,17.4,78.38
2000-02-05,2.66,41.43,9.41,4.77,14.13,58.85
2000-02-06,2.66,39.4,8.64,4.8,NA,55.46
