date,blankenstein,hölle,hof,kautendorf,oberkotzau,rehau,weißdorf
01.01.2000,15.2,4.9,7.36,1.18,3.14,3.14,0.92
02.01.2000,14.2,4.42,7.12,NA,NA,NA,0.89
03.01.2000,13.3,4.38,6.89,1.18,2.98,2.98,0.93
04.01.2000,13.3,4.47,7.21,1.1,3.02,3.02,1.21
05.01.2000,27.5,9.66,12.41,2.18,7.29,7.29,3.35
06.01.2000,27.5,7.32,12.83,2.64,5.78,5.78,1.67
07.01.2000,22.1,6.94,10.12,2.22,4.22,4.22,1.46
08.01.2000,23.8,7.22,NA,2.54,4.7,4.7,1.62
09.01.2000,24.4,NA,NA,2.49,4.59,4.59,1.52
10.01.2000,26.7,NA,NA,2.81,5.1,5.1,1.56
11.01.2000,22.7,NA,NA,2.65,NA,NA,1.28
12.01.2000,19.6,5.32,NA,1.9,3.82,3.82,1.07
13.01.2000,17.1,5.19,7.67,1.58,3.33,3.33,0.89
14.01.2000,15.2,4.74,7.49,1.4,NA,NA,NA
15.01.2000,13.3,NA,7.01,1.1,NA,NA,0.78
16.01.2000,11.8,3.69,6.64,1,NA,NA,NA
17.01.2000,11.8,3.83,6.46,0.82,2.77,2.77,0.76
18.01.2000,21.6,9.57,9.77,1.68,5.67,5.67,2.26
19.01.2000,25.1,7.54,12.6,2.58,5.57,5.57,1.59
20.01.2000,17.6,5.52,8.55,1.37,3.31,3.31,0.89
21.01.2000,15.7,5.16,7.78,1.13,2.89,2.89,0.82
22.01.2000,14.2,4.64,7.47,NA,2.64,2.64,NA
23.01.2000,13.3,4.56,6.9,0.87,2.43,2.43,0.63
24.01.2000,10.4,3.52,6.44,0.73,2.12,2.12,0.66
25.01.2000,8.54,3.38,6.2,NA,NA,NA,0.65
26.01.2000,9,2.89,NA,NA,NA,NA,0.64
27.01.2000,9.46,3.18,5.49,NA,NA,NA,0.65
28.01.2000,8.54,2.7,5.35,0.61,2.12,2.12,0.65
29.01.2000,12.3,7.35,9.51,0.96,5.19,5.19,1.86
30.01.2000,88.1,33.03,36.33,6.74,23.15,23.15,9.64
31.01.2000,80,25.29,28.35,6.39,14.72,14.72,6.09
01.02.2000,71,25.39,25.36,5.71,11.71,11.71,3.96
02.02.2000,53,18.88,18.25,4.17,7.54,7.54,2.62
03.02.2000,43.9,14.63,16.28,3.42,6.96,6.96,2.24
04.02.2000,37.3,11.33,14.73,2.97,6.53,6.53,2.03
05.02.2000,32.4,10.58,13.22,2.63,6.15,6.15,1.83
06.02.2000,26.7,8.33,12.3,NA,5.56,5.56,1.72
07.02.2000,24.4,8.12,11.59,2.12,5.6,5.6,1.67
08.02.2000,26.7,9.76,12.11,2,6.44,6.44,3.22
09.02.2000,33.2,10.95,15.39,1.96,9.11,9.11,4.29
10.02.2000,27.5,8.19,12.3,1.66,6.54,6.54,1.96
11.02.2000,25.1,8.74,11.55,1.51,6.38,6.38,2.13
12.02.2000,22.7,7.15,10.85,NA,5.54,5.54,1.75
13.02.2000,21.6,6.86,9.97,1.25,5.14,5.14,1.57
14.02.2000,21.6,6.84,9.89,1.27,5.33,5.33,1.52
15.02.2000,21.1,7.64,10.05,1.24,5.52,5.52,1.95
16.02.2000,33.2,10.78,14.52,1.65,9.13,9.13,3.75
17.02.2000,35.7,9.04,15,1.97,8.52,8.52,2.21
18.02.2000,25.9,7.68,11.7,1.49,6.24,6.24,1.64
19.02.2000,24.4,7.61,10.7,1.54,6.17,6.17,1.65
20.02.2000,26.7,7.16,NA,1.78,6.87,6.87,1.76
21.02.2000,22.7,6.28,9.81,1.56,5.83,5.83,1.51
22.02.2000,20.6,5.33,9.56,1.22,5.14,5.14,1.31
23.02.2000,19.1,4.95,9.04,NA,4.78,4.78,1.2
24.02.2000,19.6,4.99,8.96,1.23,4.98,4.98,1.49
25.02.2000,40.6,15.25,17.55,2.64,12.82,12.82,5.73
26.02.2000,53,14.4,22,3.78,12.34,12.34,2.81
27.02.2000,35.7,9.49,13.64,2.35,7.25,7.25,1.76
28.02.2000,29.1,8.27,12.12,2.14,6.44,6.44,1.57
29.02.2000,26.7,7.99,11.18,1.86,6.05,6.05,1.46
01.03.2000,39,11.83,15.64,2.11,10.15,10.15,2.35
02.03.2000,41.4,10.63,17.1,2.4,9.27,9.27,1.99
03.03.2000,40.6,12.57,15.88,2.38,8.81,8.81,3.2
04.03.2000,53.9,14.27,21.06,3.59,12.91,12.91,3.97
05.03.2000,42.2,10.38,16.72,3.21,8.46,8.46,1.88
06.03.2000,32.4,9.23,14.42,2.61,7.45,7.45,1.67
07.03.2000,29.9,8.68,13.72,2.41,7.46,7.46,1.68
08.03.2000,31.6,9.68,14.15,2.43,8.4,8.4,2.88
09.03.2000,43.1,16.03,19.06,2.9,13.27,13.27,6.04
10.03.2000,53,17,23.29,3.39,12.91,12.91,3.74
11.03.2000,47.2,14.68,19.95,3.57,11.66,11.66,3.74
12.03.2000,49.6,15.04,21.19,3.86,11.91,11.91,2.97
13.03.2000,39,11.01,17.32,3.45,9.22,9.22,2.14
14.03.2000,36.5,12.46,17.86,3.01,9.79,9.79,4.26
15.03.2000,54.8,15.49,26.09,3.99,17.45,17.45,7.88
16.03.2000,45.5,11.38,20.2,3.48,11.05,11.05,2.49
17.03.2000,59.3,14.92,24.78,6.59,14.57,14.57,4.32
18.03.2000,68.3,15.56,28.57,7.67,14.96,14.96,3.04
19.03.2000,52.1,12.42,20.71,4.64,10.93,10.93,2.29
20.03.2000,42.2,9.92,17.86,4.38,8.95,8.95,1.91
21.03.2000,35.7,8.89,15.86,3.59,8.22,8.22,1.61
22.03.2000,30.8,7.37,14.38,2.96,7.51,7.51,1.53
23.03.2000,26.7,6.45,13.33,2.48,6.73,6.73,1.36
24.03.2000,25.1,6.31,13.03,2.35,6.52,6.52,1.25
25.03.2000,23.8,6.03,12.19,2.26,6.08,6.08,1.18
26.03.2000,21.1,4.91,11.54,2.07,5.62,5.62,1.06
27.03.2000,20.1,4.99,10.78,1.86,5.45,5.45,1.05
28.03.2000,20.1,4.77,10.6,1.92,5.43,5.43,1.06
29.03.2000,18.1,4.23,10.06,1.67,4.81,4.81,0.91
30.03.2000,21.6,5.61,12.34,1.87,6.94,6.94,2.13
31.03.2000,27.5,5.8,14.23,2.54,6.77,6.77,1.7
01.04.2000,21.6,4.91,11.36,2.26,5.63,5.63,1.23
02.04.2000,19.6,4.21,10.23,1.77,5.11,5.11,1.31
03.04.2000,17.6,4.08,9.17,1.58,4.49,4.49,1.13
04.04.2000,16.7,3.73,8.55,NA,4.22,4.22,0.95
05.04.2000,15.7,3.3,8.24,1.38,4.09,4.09,0.84
06.04.2000,14.2,3.14,7.78,1.29,3.79,3.79,0.72
