date,hausneindorf,meisdorf,silberhuette
2000-01-01,1.94,1.94,2.2
2000-01-02,1.8,1.8,2.2
2000-01-03,1.73,1.73,1.99
2000-01-04,1.94,1.94,2.42
2000-01-05,2.58,2.58,3.15
2000-01-06,2.49,2.49,3.15
2000-01-07,2.41,2.41,3.04
2000-01-08,2.41,2.41,2.78
2000-01-09,2.41,2.41,2.54
2000-01-10,2.17,2.17,2.31
2000-01-11,1.94,1.94,2.2
2000-01-12,1.94,1.94,1.99
2000-01-13,1.8,1.8,1.89
2000-01-14,1.66,1.66,1.79
2000-01-15,1.59,1.59,1.71
2000-01-16,1.52,1.52,1.6
2000-01-17,1.43,1.43,1.49
2000-01-18,1.52,1.52,1.6
2000-01-19,1.52,1.52,1.49
2000-01-20,1.43,1.43,1.29
2000-01-21,1.34,1.34,1.29
2000-01-22,1.43,1.43,1.29
2000-01-23,1.26,1.26,1.2
2000-01-24,1.02,1.02,0.95
2000-01-25,1.1,1.1,0.8
2000-01-26,1.1,1.1,0.8
2000-01-27,1.59,1.59,0.8
2000-01-28,1.43,1.43,0.87
2000-01-29,1.18,1.18,1.79
2000-01-30,4.18,4.18,5.91
2000-01-31,5.8,5.8,4.83
2000-02-01,5.8,5.8,4.4
2000-02-02,4.89,4.89,4.13
2000-02-03,4.41,4.41,3.87
2000-02-04,3.84,3.84,3.5
2000-02-05,3.13,3.13,3.38
2000-02-06,3.13,3.13,3.15
2000-02-07,2.85,2.85,3.04
2000-02-08,2.85,2.85,3.04
2000-02-09,2.94,2.94,3.04
2000-02-10,2.76,2.76,2.78
2000-02-11,2.58,2.58,2.78
2000-02-12,2.67,2.67,2.66
2000-02-13,2.85,2.85,2.91
2000-02-14,3.13,3.13,2.91
2000-02-15,2.85,2.85,2.78
2000-02-16,3.03,3.03,3.04
2000-02-17,2.94,2.94,3.04
2000-02-18,2.67,2.67,2.78
2000-02-19,2.58,2.58,2.78
2000-02-20,2.67,2.67,2.78
2000-02-21,2.58,2.58,2.54
2000-02-22,2.33,2.33,2.31
2000-02-23,2.25,2.25,2.2
2000-02-24,2.17,2.17,2.31
2000-02-25,2.76,2.76,2.66
2000-02-26,2.94,2.94,2.54
2000-02-27,2.94,2.94,2.54
2000-02-28,3.53,3.53,3.38
2000-02-29,5.14,5.14,4.54
2000-03-01,6.08,6.08,4.83
2000-03-02,6.08,6.08,4.54
2000-03-03,5.94,5.94,5.43
2000-03-04,7.74,7.74,5.75
2000-03-05,6.51,6.51,5.28
2000-03-06,5.94,5.94,4.69
2000-03-07,5.53,5.53,4.54
2000-03-08,5.27,5.27,4.54
2000-03-09,5.8,5.8,4.98
2000-03-10,6.37,6.37,4.98
2000-03-11,6.08,6.08,4.98
2000-03-12,5.8,5.8,4.54
2000-03-13,5.4,5.4,4.27
2000-03-14,5.14,5.14,4.13
2000-03-15,6.08,6.08,4.54
2000-03-16,5.8,5.8,4.27
2000-03-17,5.94,5.94,4.4
2000-03-18,6.66,6.66,4.98
2000-03-19,7.11,7.11,4.98
2000-03-20,6.51,6.51,4.83
2000-03-21,6.22,6.22,4.54
2000-03-22,5.67,5.67,4.27
2000-03-23,5.14,5.14,3.87
2000-03-24,4.64,4.64,3.62
2000-03-25,4.18,4.18,3.38
2000-03-26,3.84,3.84,3.04
2000-03-27,3.32,3.32,2.78
2000-03-28,3.42,3.42,2.78
2000-03-29,3.84,3.84,3.04
2000-03-30,3.84,3.84,2.91
2000-03-31,3.84,3.84,2.66
2000-04-01,3.63,3.63,2.66
2000-04-02,3.53,3.53,2.54
2000-04-03,3.42,3.42,2.54
2000-04-04,3.42,3.42,2.54
2000-04-05,3.13,3.13,2.42
2000-04-06,2.67,2.67,2.2
2000-04-07,2.49,2.49,1.89
2000-04-08,2.17,2.17,1.71
2000-04-09,2.17,2.17,1.71
2000-04-10,2.09,2.09,1.6
2000-04-11,1.87,1.87,1.6
2000-04-12,1.73,1.73,1.49
2000-04-13,1.66,1.66,1.2
2000-04-14,1.73,1.73,1.11
2000-04-15,1.59,1.59,1.11
2000-04-16,1.52,1.52,1.11
2000-04-17,1.43,1.43,0.87
2000-04-18,1.34,1.34,0.87
2000-04-19,1.73,1.73,1.29
2000-04-20,1.87,1.87,1.2
2000-04-21,1.59,1.59,1.11
2000-04-22,1.52,1.52,1.11
2000-04-23,1.34,1.34,1.11
2000-04-24,1.34,1.34,1.11
2000-04-25,1.18,1.18,0.95
2000-04-26,1.1,1.1,0.95
2000-04-27,1.1,1.1,0.95
2000-04-28,1.1,1.1,0.95
2000-04-29,1.02,1.02,0.95
2000-04-30,0.89,0.89,1.11
2000-05-01,1.43,1.43,1.38
2000-05-02,1.34,1.34,1.11
2000-05-03,1.1,1.1,1.02
2000-05-04,1.02,1.02,1.02
2000-05-05,0.89,0.89,1.02
2000-05-06,0.83,0.83,1.02
2000-05-07,0.83,0.83,1.02
2000-05-08,0.83,0.83,1.02
2000-05-09,0.71,0.71,0.95
2000-05-10,0.61,0.61,0.8
2000-05-11,0.51,0.51,0.8
2000-05-12,0.51,0.51,0.74
2000-05-13,0.42,0.42,0.74
2000-05-14,0.34,0.34,0.74
2000-05-15,0.34,0.34,0.74
2000-05-16,0.34,0.34,0.62
2000-05-17,0.28,0.28,0.51
2000-05-18,0.34,0.34,0.51
2000-05-19,0.28,0.28,0.51
2000-05-20,0.51,0.51,0.62
2000-05-21,0.77,0.77,0.62
2000-05-22,0.71,0.71,0.67
2000-05-23,0.66,0.66,0.74
2000-05-24,0.61,0.61,0.62
2000-05-25,0.51,0.51,0.62
2000-05-26,0.61,0.61,0.62
2000-05-27,0.51,0.51,0.62
2000-05-28,0.42,0.42,0.62
2000-05-29,0.42,0.42,0.56
2000-05-30,0.42,0.42,0.56
2000-05-31,0.42,0.42,0.56
2000-06-01,0.34,0.34,0.56
2000-06-02,0.22,0.22,0.56
2000-06-03,0.22,0.22,0.46
2000-06-04,0.22,0.22,0.46
2000-06-05,0.28,0.28,0.56
2000-06-06,0.51,0.51,0.46
2000-06-07,0.61,0.61,0.46
2000-06-08,0.42,0.42,0.42
2000-06-09,0.34,0.34,0.42
2000-06-10,0.28,0.28,0.42
2000-06-11,0.18,0.18,0.38
2000-06-12,0.18,0.18,0.38
2000-06-13,0.18,0.18,0.3
2000-06-14,0.18,0.18,0.3
2000-06-15,0.22,0.22,0.27
2000-06-16,0.22,0.22,0.27
2000-06-17,0.22,0.22,0.27
2000-06-18,0.22,0.22,0.27
2000-06-19,0.18,0.18,0.24
2000-06-20,0.18,0.18,0.21
2000-06-21,0.18,0.18,0.19
2000-06-22,0.14,0.14,0.19
2000-06-23,0.14,0.14,0.19
2000-06-24,0.14,0.14,0.27
2000-06-25,0.14,0.14,0.27
2000-06-26,0.18,0.18,0.27
2000-06-27,0.22,0.22,0.27
2000-06-28,0.22,0.22,0.27
2000-06-29,0.18,0.18,0.24
2000-06-30,0.18,0.18,0.24
2000-07-01,0.18,0.18,0.21
2000-07-02,0.14,0.14,0.21
2000-07-03,0.14,0.14,0.27
2000-07-04,0.22,0.22,0.3
2000-07-05,0.61,0.61,0.42
2000-07-06,0.66,0.66,0.46
2000-07-07,0.34,0.34,0.42
2000-07-08,0.28,0.28,0.34
2000-07-09,0.28,0.28,0.34
2000-07-10,0.34,0.34,0.42
2000-07-11,0.34,0.34,0.42
2000-07-12,0.28,0.28,0.34
2000-07-13,0.28,0.28,0.3
2000-07-14,0.34,0.34,0.3
2000-07-15,0.28,0.28,0.3
2000-07-16,0.28,0.28,0.3
2000-07-17,0.28,0.28,0.3
2000-07-18,0.28,0.28,0.3
2000-07-19,0.28,0.28,0.24
2000-07-20,0.28,0.28,0.24
2000-07-21,0.28,0.28,0.24
2000-07-22,0.28,0.28,0.24
2000-07-23,0.28,0.28,0.24
2000-07-24,0.28,0.28,0.24
2000-07-25,0.28,0.28,0.27
2000-07-26,0.34,0.34,0.3
2000-07-27,0.28,0.28,0.24
2000-07-28,0.28,0.28,0.27
2000-07-29,0.34,0.34,0.27
2000-07-30,0.34,0.34,0.27
2000-07-31,0.34,0.34,0.24
2000-08-01,0.28,0.28,0.24
2000-08-02,0.28,0.28,0.27
2000-08-03,0.22,0.22,0.27
2000-08-04,0.22,0.22,0.24
2000-08-05,0.34,0.34,0.24
2000-08-06,0.22,0.22,0.24
2000-08-07,0.18,0.18,0.24
2000-08-08,0.14,0.14,0.24
2000-08-09,0.11,0.11,0.24
2000-08-10,0.11,0.11,0.24
2000-08-11,0.14,0.14,0.27
2000-08-12,0.14,0.14,0.24
2000-08-13,0.14,0.14,0.21
2000-08-14,0.09,0.09,0.21
2000-08-15,0.09,0.09,0.24
2000-08-16,0.14,0.14,0.3
2000-08-17,0.11,0.11,0.21
2000-08-18,0.09,0.09,0.21
2000-08-19,0.14,0.14,0.24
2000-08-20,0.11,0.11,0.27
2000-08-21,0.42,0.42,0.51
2000-08-22,0.42,0.42,0.42
2000-08-23,0.28,0.28,0.3
2000-08-24,0.18,0.18,0.21
2000-08-25,0.14,0.14,0.21
2000-08-26,0.14,0.14,0.21
2000-08-27,0.09,0.09,0.21
2000-08-28,0.09,0.09,0.19
2000-08-29,0.11,0.11,0.19
2000-08-30,0.11,0.11,0.19
2000-08-31,0.11,0.11,0.19
2000-09-01,0.11,0.11,0.19
2000-09-02,0.11,0.11,0.21
2000-09-03,0.22,0.22,0.24
2000-09-04,0.28,0.28,0.24
2000-09-05,0.22,0.22,0.24
2000-09-06,0.22,0.22,0.24
2000-09-07,0.28,0.28,0.38
2000-09-08,0.34,0.34,0.42
2000-09-09,0.34,0.34,0.38
2000-09-10,0.28,0.28,0.34
2000-09-11,0.22,0.22,0.27
2000-09-12,0.22,0.22,0.27
2000-09-13,0.22,0.22,0.21
2000-09-14,0.18,0.18,0.21
2000-09-15,0.18,0.18,0.19
2000-09-16,0.18,0.18,0.21
2000-09-17,0.18,0.18,0.27
2000-09-18,0.18,0.18,0.24
2000-09-19,0.18,0.18,0.24
2000-09-20,0.18,0.18,0.24
2000-09-21,0.18,0.18,0.21
2000-09-22,0.18,0.18,0.34
2000-09-23,0.22,0.22,0.27
2000-09-24,0.22,0.22,0.24
2000-09-25,0.22,0.22,0.19
2000-09-26,0.18,0.18,0.19
2000-09-27,0.18,0.18,0.16
2000-09-28,0.18,0.18,0.16
2000-09-29,0.18,0.18,0.16
2000-09-30,0.14,0.14,0.16
2000-10-01,0.14,0.14,0.16
2000-10-02,0.14,0.14,0.16
2000-10-03,0.18,0.18,0.16
2000-10-04,0.18,0.18,0.16
2000-10-05,0.18,0.18,0.14
2000-10-06,0.18,0.18,0.16
2000-10-07,0.34,0.34,0.19
2000-10-08,0.34,0.34,0.27
2000-10-09,0.34,0.34,0.3
2000-10-10,0.34,0.34,0.3
2000-10-11,0.34,0.34,0.3
2000-10-12,0.28,0.28,0.27
2000-10-13,0.28,0.28,0.24
2000-10-14,0.22,0.22,0.24
2000-10-15,0.14,0.14,0.27
2000-10-16,0.18,0.18,0.51
2000-10-17,0.34,0.34,0.62
2000-10-18,0.42,0.42,0.42
2000-10-19,0.22,0.22,0.34
2000-10-20,0.22,0.22,0.34
2000-10-21,0.22,0.22,0.34
2000-10-22,0.22,0.22,0.3
2000-10-23,0.18,0.18,0.27
2000-10-24,0.18,0.18,0.27
2000-10-25,0.28,0.28,0.27
2000-10-26,0.22,0.22,0.3
2000-10-27,0.28,0.28,0.34
2000-10-28,0.51,0.51,0.38
2000-10-29,0.66,0.66,0.38
2000-10-30,0.61,0.61,0.38
2000-10-31,0.34,0.34,0.38
2000-11-01,0.17,0.17,0.34
2000-11-02,0.17,0.17,0.34
2000-11-03,0.17,0.17,0.38
2000-11-04,0.24,0.24,0.42
2000-11-05,0.2,0.2,0.38
2000-11-06,0.24,0.24,0.38
2000-11-07,0.28,0.28,0.34
2000-11-08,0.28,0.28,0.42
2000-11-09,0.24,0.24,0.42
2000-11-10,0.24,0.24,0.38
2000-11-11,0.24,0.24,0.38
2000-11-12,0.24,0.24,0.34
2000-11-13,0.33,0.33,0.34
2000-11-14,0.33,0.33,0.34
2000-11-15,0.37,0.37,0.42
2000-11-16,0.33,0.33,0.42
2000-11-17,0.37,0.37,0.42
2000-11-18,0.37,0.37,0.42
2000-11-19,0.33,0.33,0.42
2000-11-20,0.33,0.33,0.34
2000-11-21,0.28,0.28,0.34
2000-11-22,0.28,0.28,0.34
2000-11-23,0.33,0.33,0.38
2000-11-24,0.33,0.33,0.38
2000-11-25,0.33,0.33,0.38
2000-11-26,0.33,0.33,0.38
2000-11-27,0.37,0.37,0.38
2000-11-28,0.41,0.41,0.34
2000-11-29,0.37,0.37,0.34
2000-11-30,0.37,0.37,0.34
2000-12-01,0.37,0.37,0.34
2000-12-02,0.37,0.37,0.3
2000-12-03,0.37,0.37,0.3
2000-12-04,0.37,0.37,0.3
2000-12-05,0.37,0.37,0.34
2000-12-06,0.41,0.41,0.34
2000-12-07,0.37,0.37,0.38
2000-12-08,0.37,0.37,0.38
2000-12-09,0.37,0.37,0.38
